Package,Base name,Inh Depth,NVI,Local G Count,NVS,New Count,Overriden G Count,Inh Count,Tag,Ovr Tag
org.bouncycastle.jce.provider,JDKDigestSignature$RIPEMD128WithRSAEncryption,4,0.0,0,0.0,0,0,44,Other,NoOvr
com.aelitis.net.upnp.impl.device,UPnPRootDeviceImpl,1,1.1818181,13,15.363636,13,0,11,PureExtender,NoOvr
org.gudy.azureus2.pluginsimpl.remote.torrent,RPTorrentDownloader,2,0.41666666,5,2.0833333,2,3,21,Overrider,PureReplacer
com.aelitis.azureus.core.peermanager.messaging.bittorrent,BTRequest,1,1.2727273,14,17.818182,12,2,9,Extender,PureReplacer
org.gudy.azureus2.core3.download.impl,DownloadManagerStateImpl$nullState,1,3.8181818,42,160.36363,42,0,11,PureExtender,NoOvr
org.gudy.azureus2.ui.swt.mainwindow,MainWindow,2,10.0,65,650.0,64,1,12,Extender,PureSpecializer
org.gudy.azureus2.ui.swt,StartSocket,1,0.09090909,1,0.09090909,1,0,11,PureExtender,NoOvr
com.aelitis.net.udp.uc.impl,PRUDPPacketHandlerFactoryImpl,1,0.0,0,0.0,0,0,11,Other,NoOvr
org.gudy.azureus2.pluginsimpl.local.ddb,DDBaseTTTorrent,1,0.6363636,7,4.4545455,7,0,11,PureExtender,NoOvr
org.gudy.azureus2.ui.swt.views,TableView$TableTooltips,1,0.09090909,1,0.09090909,1,0,11,PureExtender,NoOvr
com.aelitis.azureus.core.dht.transport.udp.impl,Test,1,0.90909094,10,9.090909,10,0,11,PureExtender,NoOvr
org.gudy.azureus2.ui.swt.views.tableitems.mytracker,PeerCountItem,3,0.05263158,1,0.05263158,1,0,57,PureExtender,NoOvr
org.bouncycastle.asn1.x509,DSAParameter,1,0.36363637,4,1.4545455,4,0,11,PureExtender,NoOvr
org.gudy.azureus2.core3.util,HashWrapper,1,0.36363637,4,1.4545455,2,2,9,Overrider,PureReplacer
org.gudy.azureus2.pluginsimpl.remote.utils,RPShortCuts,2,0.75,9,6.75,5,4,20,Extender,Replacer
org.gudy.azureus2.pluginsimpl.local.utils.resourcedownloader,ResourceDownloaderErrorImpl,2,0.5,10,5.0,0,10,30,PureOverrider,Specializer
org.gudy.azureus2.ui.swt.views.stats,VivaldiView,2,0.41666666,5,2.0833333,0,5,19,PureOverrider,PureReplacer
org.gudy.azureus2.core3.config.impl,TransferSpeedValidator,1,0.09090909,1,0.09090909,1,0,11,PureExtender,NoOvr
org.bouncycastle.crypto.params,ElGamalPrivateKeyParameters,3,0.46153843,2,0.92307687,1,1,12,Overrider,PureSpecializer
com.aelitis.azureus.core.dht.transport.udp.impl,DHTUDPPacketReplyFindValue,4,1.0,8,8.0,5,3,29,Extender,Specializer
org.gudy.azureus2.core3.disk.impl.piecemapper.impl,PieceMapEntryImpl,1,0.27272728,3,0.8181819,3,0,11,PureExtender,NoOvr
org.gudy.azureus2.plugins.utils.resourceuploader,ResourceUploaderException,3,0.0,0,0.0,0,0,21,Other,NoOvr
com.aelitis.net.udp.uc,PRUDPPacketRequest,2,0.27272728,3,0.8181819,1,2,20,Overrider,PureSpecializer
org.gudy.azureus2.pluginsimpl.local,PluginInterfaceImpl,1,5.5454545,61,338.27274,61,0,11,PureExtender,NoOvr
org.bouncycastle.crypto.generators,MGF1BytesGenerator,1,0.27272728,3,0.8181819,3,0,11,PureExtender,NoOvr
com.aelitis.azureus.core.networkmanager.impl,ProxyLoginHandler,1,0.0,0,0.0,0,0,11,Other,NoOvr
