Package,Base name,Inh Depth,NVI,Local G Count,NVS,New Count,Overriden G Count,Inh Count,Tag,Ovr Tag,Large Class,Budding Class,Blooming Class
CH.ifa.draw.samples.pert,PertFigureCreationTool,3,0.13043478,1,0.13043478,0,1,22,PureOverrider,PureReplacer,N,N,N
CH.ifa.draw.util,PaletteLayout,1,0.45454547,5,2.2727273,5,0,11,PureExtender,NoOvr,N,N,N
CH.ifa.draw.figures,InsertImageCommand,2,0.14285715,1,0.14285715,0,1,13,PureOverrider,PureSpecializer,N,N,N
CH.ifa.draw.standard,AbstractFigure,1,3.090909,34,105.090904,33,1,10,Extender,PureReplacer,Y,Y,Y
CH.ifa.draw.contrib,TriangleFigure,4,0.8979592,11,9.877551,3,8,41,Overrider,Equals,N,Y,N
CH.ifa.draw.samples.net,NetApp,7,0.014861996,1,0.014861996,0,1,470,PureOverrider,PureSpecializer,N,N,N
CH.ifa.draw.standard,SouthEastHandle,3,0.13636364,1,0.13636364,0,1,21,PureOverrider,PureReplacer,N,N,N
CH.ifa.draw.figures,ScribbleTool,2,0.3809524,4,1.5238096,0,4,17,PureOverrider,Equals,N,N,N
CH.ifa.draw.samples.javadraw,MySelectionTool,3,0.25,2,0.5,1,1,23,Overrider,PureSpecializer,N,N,N
CH.ifa.draw.figures,NumberTextFigure,4,0.18181819,3,0.54545456,2,1,65,Extender,PureReplacer,N,N,N
CH.ifa.draw.util,StandardStorageFormat,1,1.2727273,14,17.818182,13,1,10,Extender,PureReplacer,N,Y,N
CH.ifa.draw.standard,CompositeFigure,2,1.4090909,31,43.681816,24,7,37,Extender,Specializer,Y,Y,Y
CH.ifa.draw.standard,CreationTool,2,0.5714286,6,3.4285717,2,4,17,Overrider,PureReplacer,N,N,N
CH.ifa.draw.standard,SouthWestHandle,3,0.13636364,1,0.13636364,0,1,21,PureOverrider,PureReplacer,N,N,N
CH.ifa.draw.samples.net,NodeFigure,4,0.36363637,6,2.1818182,0,6,60,PureOverrider,Equals,N,N,N
CH.ifa.draw.samples.javadraw,BouncingDrawing,4,0.21917808,4,0.8767123,1,3,70,Overrider,PureSpecializer,N,N,N
CH.ifa.draw.samples.javadraw,FollowURLTool,2,0.1904762,2,0.3809524,0,2,19,PureOverrider,PureReplacer,N,N,N
CH.ifa.draw.util,CommandButton,6,0.011605416,1,0.011605416,1,0,517,PureExtender,NoOvr,N,N,N
CH.ifa.draw.framework,HJDError,3,0.0,0,0.0,0,0,21,Other,NoOvr,N,N,N
CH.ifa.draw.util,CommandChoice,5,0.02004008,2,0.04008016,2,0,499,PureExtender,NoOvr,N,N,N
CH.ifa.draw.figures,EllipseFigure,3,0.61224484,10,6.1224484,0,10,39,PureOverrider,Specializer,N,N,N
CH.ifa.draw.standard,ChangeConnectionEndHandle,3,0.5357143,5,2.6785717,0,5,23,PureOverrider,PureSpecializer,N,N,N
CH.ifa.draw.standard,SimpleUpdateStrategy,1,0.09090909,1,0.09090909,1,0,11,PureExtender,NoOvr,N,N,N
CH.ifa.draw.figures,PolyLineHandle,3,0.27272728,2,0.54545456,0,2,20,PureOverrider,PureReplacer,N,N,N
CH.ifa.draw.standard,CopyCommand,3,0.3529412,2,0.7058824,0,2,15,PureOverrider,Equals,N,N,N
CH.ifa.draw.standard,EastHandle,3,0.13636364,1,0.13636364,0,1,21,PureOverrider,PureReplacer,N,N,N
CH.ifa.draw.contrib,PolygonTool,2,0.5714286,6,3.4285717,0,6,15,PureOverrider,Replacer,N,N,N
CH.ifa.draw.figures,TextTool,3,1.3043479,10,13.043479,5,5,18,Overrider,Specializer,N,Y,N
CH.ifa.draw.framework,FigureSelection,1,0.18181819,2,0.36363637,2,0,11,PureExtender,NoOvr,N,N,N
CH.ifa.draw.standard,ConnectionTool,2,1.4285715,15,21.428572,10,5,16,Extender,Replacer,N,Y,Y
CH.ifa.draw.samples.nothing,NothingApplet,7,0.017766498,1,0.017766498,0,1,393,PureOverrider,PureSpecializer,N,N,N
CH.ifa.draw.util,ReverseVectorEnumerator,1,0.18181819,2,0.36363637,2,0,11,PureExtender,NoOvr,N,N,N
CH.ifa.draw.contrib,DiamondFigure,4,0.3265306,4,1.3061224,1,3,46,Overrider,PureReplacer,N,N,N
CH.ifa.draw.standard,StandardDrawingView,5,0.6292906,55,34.61098,50,5,432,Extender,PureReplacer,Y,N,Y
CH.ifa.draw.standard,FigureTransferCommand,2,0.42857143,3,1.2857143,3,0,14,PureExtender,NoOvr,N,N,N
CH.ifa.draw.figures,FontSizeHandle,3,0.4090909,3,1.2272727,0,3,19,PureOverrider,PureReplacer,N,N,N
CH.ifa.draw.figures,FigureAttributes,1,0.54545456,6,3.2727275,5,1,10,Extender,PureSpecializer,N,N,N
CH.ifa.draw.standard,GridConstrainer,1,0.27272728,3,0.8181819,3,0,11,PureExtender,NoOvr,N,N,N
CH.ifa.draw.standard,SelectAreaTracker,2,0.2857143,3,0.8571429,0,3,18,PureOverrider,PureSpecializer,N,N,N
CH.ifa.draw.samples.javadraw,URLTool,2,0.3809524,4,1.5238096,2,2,19,Overrider,PureReplacer,N,N,N
CH.ifa.draw.util,Iconkit,1,0.54545456,6,3.2727275,6,0,11,PureExtender,NoOvr,N,N,N
CH.ifa.draw.figures,UngroupCommand,2,0.2857143,2,0.5714286,0,2,12,PureOverrider,Equals,N,N,N
CH.ifa.draw.util,SerializationStorageFormat,2,0.33333334,4,1.3333334,0,4,20,PureOverrider,PureReplacer,N,N,N
CH.ifa.draw.standard,ChangeConnectionStartHandle,3,0.5357143,5,2.6785717,0,5,23,PureOverrider,PureSpecializer,N,N,N
CH.ifa.draw.samples.pert,PertFigure,3,1.0588236,24,25.411766,14,10,58,Extender,Specializer,Y,Y,Y
CH.ifa.draw.util,Clipboard,1,0.18181819,2,0.36363637,2,0,11,PureExtender,NoOvr,N,N,N
CH.ifa.draw.standard,DuplicateCommand,3,0.3529412,2,0.7058824,0,2,15,PureOverrider,Equals,N,N,N
CH.ifa.draw.figures,RadiusHandle,2,0.36363637,4,1.4545455,0,4,18,PureOverrider,Replacer,N,N,N
CH.ifa.draw.util,PaletteIcon,1,0.45454547,5,2.2727273,5,0,11,PureExtender,NoOvr,N,N,N
CH.ifa.draw.util,ColorMap,1,0.0,0,0.0,0,0,11,Other,NoOvr,N,N,N
CH.ifa.draw.contrib,SplitPaneDrawApplication,7,0.11889597,8,0.95116776,7,1,470,Extender,PureSpecializer,N,N,N
CH.ifa.draw.standard,NorthEastHandle,3,0.13636364,1,0.13636364,0,1,21,PureOverrider,PureReplacer,N,N,N
CH.ifa.draw.util,PaletteButton,6,0.12765957,11,1.4042553,11,0,517,PureExtender,NoOvr,N,N,N
CH.ifa.draw.standard,ActionTool,2,0.2857143,3,0.8571429,1,2,19,Overrider,PureReplacer,N,N,N
CH.ifa.draw.standard,DeleteCommand,3,0.3529412,2,0.7058824,0,2,15,PureOverrider,Equals,N,N,N
CH.ifa.draw.contrib,PolygonFigure,3,1.5918367,26,41.387753,14,12,37,Extender,Equals,Y,Y,Y
CH.ifa.draw.application,DrawApplication,6,0.76076555,53,40.320576,53,0,418,PureExtender,NoOvr,Y,N,Y
CH.ifa.draw.contrib,PolygonScaleHandle,2,0.54545456,6,3.2727275,1,5,17,Overrider,Replacer,N,N,N
CH.ifa.draw.standard,OffsetLocator,2,0.61538464,4,2.4615386,2,2,11,Overrider,PureSpecializer,N,N,N
CH.ifa.draw.standard,NorthWestHandle,3,0.13636364,1,0.13636364,0,1,21,PureOverrider,PureReplacer,N,N,N
CH.ifa.draw.standard,DecoratorFigure,2,1.3181819,29,38.227276,9,20,24,Overrider,Replacer,Y,Y,Y
CH.ifa.draw.samples.pert,PertApplet,7,0.017766498,1,0.017766498,0,1,393,PureOverrider,PureSpecializer,N,N,N
CH.ifa.draw.standard,FigureChangeAdapter,1,0.45454547,5,2.2727273,5,0,11,PureExtender,NoOvr,N,N,N
CH.ifa.draw.applet,SleeperThread,2,0.048780486,1,0.048780486,0,1,40,PureOverrider,PureReplacer,N,N,N
CH.ifa.draw.contrib,PolygonHandle,2,0.27272728,3,0.8181819,0,3,19,PureOverrider,Replacer,N,N,N
CH.ifa.draw.figures,ImageFigure,3,0.4897959,8,3.9183671,1,7,42,Overrider,Specializer,N,N,N
CH.ifa.draw.figures,AbstractLineDecoration,1,0.72727275,8,5.818182,8,0,11,PureExtender,NoOvr,N,N,N
CH.ifa.draw.standard,LocatorConnector,2,0.6,6,3.6000001,1,5,15,Overrider,Replacer,N,N,N
CH.ifa.draw.standard,AbstractLocator,1,0.27272728,3,0.8181819,2,1,10,Extender,PureSpecializer,N,N,N
CH.ifa.draw.standard,ToolButton,7,0.1060606,8,0.8484848,3,5,523,Overrider,Replacer,N,N,N
CH.ifa.draw.standard,SelectionTool,2,0.5714286,6,3.4285717,3,3,18,Overrider,PureReplacer,N,N,N
CH.ifa.draw.standard,AbstractTool,1,0.90909094,10,9.090909,10,0,11,PureExtender,NoOvr,N,Y,N
CH.ifa.draw.standard,ReverseFigureEnumerator,1,0.27272728,3,0.8181819,3,0,11,PureExtender,NoOvr,N,N,N
CH.ifa.draw.standard,NorthHandle,3,0.13636364,1,0.13636364,0,1,21,PureOverrider,PureReplacer,N,N,N
CH.ifa.draw.util,ColorEntry,1,0.0,0,0.0,0,0,11,Other,NoOvr,N,N,N
CH.ifa.draw.figures,GroupFigure,3,0.2647059,6,1.5882354,0,6,62,PureOverrider,Specializer,N,N,N
CH.ifa.draw.util,CommandMenu,7,0.085514836,7,0.59860384,7,0,573,PureExtender,NoOvr,N,N,N
CH.ifa.draw.contrib,ChopPolygonConnector,3,0.14285715,1,0.14285715,0,1,20,PureOverrider,PureReplacer,N,N,N
CH.ifa.draw.standard,AbstractHandle,1,1.0,11,11.0,11,0,11,PureExtender,NoOvr,N,Y,N
CH.ifa.draw.samples.pert,PertApplication,7,0.014861996,1,0.014861996,0,1,470,PureOverrider,PureSpecializer,N,N,N
CH.ifa.draw.standard,StandardDrawing,3,0.5294118,12,6.3529415,5,7,61,Overrider,Replacer,N,N,N
CH.ifa.draw.standard,PasteCommand,3,0.3529412,2,0.7058824,1,1,16,Overrider,PureSpecializer,N,N,N
CH.ifa.draw.standard,CutCommand,3,0.3529412,2,0.7058824,0,2,15,PureOverrider,Equals,N,N,N
CH.ifa.draw.contrib,StandardLayouter,1,0.72727275,8,5.818182,8,0,11,PureExtender,NoOvr,N,N,N
CH.ifa.draw.contrib,TriangleRotationHandle,2,0.54545456,6,3.2727275,1,5,17,Overrider,Replacer,N,N,N
CH.ifa.draw.standard,BringToFrontCommand,2,0.2857143,2,0.5714286,0,2,12,PureOverrider,Equals,N,N,N
