Package,Base name,Inh Depth,NVI,Local G Count,NVS,New Count,Overriden G Count,Inh Count,Tag,Ovr Tag
org.jboss.net.sockets,InterruptableInputStream,2,0.9,9,8.099999,0,9,11,PureOverrider,Replacer
org.jboss.util.collection,EmptyCollectionException,5,0.0,0,0.0,0,0,21,Other,NoOvr
org.jboss.mx.notification,DefaultListenerRegistration,1,0.8181818,9,7.3636365,6,3,8,Extender,PureReplacer
org.jboss.xb.binding,Content$EndPrefixMapping,1,0.09090909,1,0.09090909,1,0,11,PureExtender,NoOvr
org.jboss.xb.binding,AbstractMarshaller$ClassMapping,1,0.18181819,2,0.36363637,0,2,9,PureOverrider,PureReplacer
javax.management.loading,PrivateMLet,5,0.0,0,0.0,0,0,59,Other,NoOvr
org.jboss.xb.binding.sunday.unmarshalling,SimpleTypeBinding,2,0.054054055,2,0.10810811,1,1,73,Overrider,PureReplacer
org.jboss.mx.loading,UnifiedClassLoader,5,0.39473686,6,2.368421,2,4,72,Overrider,Specializer
EDU.oswego.cs.dl.util.concurrent,WaitableDouble,3,1.5,12,18.0,6,6,18,Overrider,PureSpecializer
org.apache.commons.httpclient.params,HttpConnectionManagerParams,3,0.41860467,6,2.5116282,6,0,43,PureExtender,NoOvr
org.apache.commons.httpclient,SimpleHttpConnectionManager,1,0.8181818,9,7.3636365,9,0,11,PureExtender,NoOvr
EDU.oswego.cs.dl.util.concurrent.misc,NextFunction,1,0.09090909,1,0.09090909,1,0,11,PureExtender,NoOvr
org.jboss.util.collection,CachedCollection$MyIterator,1,0.27272728,3,0.8181819,3,0,11,PureExtender,NoOvr
org.apache.log4j.spi,NullWriter,2,0.25,3,0.75,0,3,21,PureOverrider,PureSpecializer
org.jboss.util.collection,WeakIdentityHashMap$Values,2,0.5,6,3.0,0,6,18,PureOverrider,Replacer
org.jboss.net.sockets,TimeoutServerSocketFactory,1,0.54545456,6,3.2727275,4,2,9,Extender,PureReplacer
org.jboss.logging.appender,DailyRollingFileAppender,5,0.0877193,1,0.0877193,0,1,56,PureOverrider,PureSpecializer
org.jboss.util.stream,CRLFPrintWriter,3,0.11538461,2,0.23076922,1,1,51,Overrider,PureReplacer
org.jboss.dom4j.io,SAXHelper,1,0.0,0,0.0,0,0,11,Other,NoOvr
org.apache.commons.httpclient.util,HttpURLConnection,3,1.5967742,33,52.69355,0,33,29,PureOverrider,Replacer
org.jboss.xb.binding.group,ValueList$NonRequiredValue,1,0.0,0,0.0,0,0,11,Other,NoOvr
EDU.oswego.cs.dl.util.concurrent,CopyOnWriteArrayList$COWSubList,3,0.8571428,10,8.571428,2,8,27,Overrider,Replacer
org.jboss.util,DirectoryBuilder,1,0.36363637,4,1.4545455,3,1,10,Extender,PureReplacer
org.apache.log4j.helpers,BoundedFIFO,1,0.8181818,9,7.3636365,9,0,11,PureExtender,NoOvr
org.jboss.util.file,FileSuffixFilter,1,0.09090909,1,0.09090909,1,0,11,PureExtender,NoOvr
javax.management.relation,RelationServiceNotRegisteredException,5,0.0,0,0.0,0,0,21,Other,NoOvr
EDU.oswego.cs.dl.util.concurrent,ConcurrentHashMap$Entry,1,0.54545456,6,3.2727275,3,3,8,Overrider,PureReplacer
org.apache.commons.httpclient,WireLogInputStream,3,0.45000002,3,1.35,0,3,17,PureOverrider,PureReplacer
org.jboss.deployment,XSLSubDeployer,4,1.2698413,20,25.396826,12,8,55,Extender,Replacer
org.jboss.deployment,JARDeployer,4,0.25396827,4,1.0158731,2,2,61,Overrider,Equals
org.jboss.util.collection,Iterators$ImmutableIterator,1,0.27272728,3,0.8181819,3,0,11,PureExtender,NoOvr
org.jboss.dom4j.tree,FlyweightProcessingInstruction,3,0.34615383,6,2.076923,4,2,50,Extender,PureReplacer
org.jboss.util.file,JarUtils,1,0.0,0,0.0,0,0,11,Other,NoOvr
