Package,Base name,DIT,Local G Count,Tag,Hamming,Hamming Index,Jaccard,Jaccard Index
CH.ifa.draw.standard,CutCommand,3,2,PureOverrider,0,1.0,0.0,1.0
CH.ifa.draw.contrib,StandardLayouter,1,8,PureExtender,8,0.0,1.0,0.0
CH.ifa.draw.contrib,TriangleRotationHandle,2,6,Overrider,5,0.16666667,0.71428573,0.2857143
CH.ifa.draw.standard,BringToFrontCommand,2,2,PureOverrider,0,1.0,0.0,1.0
CH.ifa.draw.util,StorableInput,1,6,PureExtender,6,0.0,1.0,0.0
CH.ifa.draw.util,Geom,1,0,Other,0,0.0,0.0,1.0
CH.ifa.draw.figures,PolyLineFigure,2,29,Extender,20,0.31034482,0.6896552,0.31034482
CH.ifa.draw.standard,ConnectionHandle,3,7,Overrider,6,0.14285715,0.85714287,0.14285715
CH.ifa.draw.util,StorableOutput,1,7,PureExtender,7,0.0,1.0,0.0
CH.ifa.draw.standard,SendToBackCommand,2,2,PureOverrider,0,1.0,0.0,1.0
CH.ifa.draw.standard,FigureEnumerator,1,3,PureExtender,3,0.0,1.0,0.0
CH.ifa.draw.figures,BorderTool,3,1,PureOverrider,0,1.0,0.0,1.0
CH.ifa.draw.figures,ConnectedTextTool,4,2,PureOverrider,0,1.0,0.0,1.0
CH.ifa.draw.figures,AttributeFigure,2,9,Extender,8,0.11111111,0.6153846,0.3846154
CH.ifa.draw.standard,ToggleGridCommand,2,1,PureOverrider,1,0.0,0.5,0.5
CH.ifa.draw.standard,BufferedUpdateStrategy,1,1,PureExtender,1,0.0,1.0,0.0
CH.ifa.draw.figures,TextFigure,3,30,Extender,22,0.26666668,0.73333335,0.26666668
CH.ifa.draw.figures,RoundRectangleFigure,3,12,Overrider,4,0.6666667,0.3333333,0.6666667
CH.ifa.draw.figures,ElbowHandle,2,4,PureOverrider,1,0.75,0.25,0.75
CH.ifa.draw.standard,AbstractConnector,1,9,PureExtender,9,0.0,1.0,0.0
CH.ifa.draw.contrib,MDI_DrawApplication,7,21,Extender,22,-0.04761905,1.0,0.0
CH.ifa.draw.standard,LocatorHandle,2,1,PureOverrider,2,-1.0,0.6666666,0.33333334
