Package,Base name,Inh Depth,NVI,Local G Count,NVS,New Count,Overriden G Count,Inh Count,Tag,Ovr Tag
org.apache.log4j,ProvisionNode,4,0.0,0,0.0,0,0,52,Other,NoOvr
org.apache.log4j.helpers,PatternConverter,1,0.27272728,3,0.8181819,3,0,11,PureExtender,NoOvr
org.apache.log4j,PropertyConfigurator,1,1.0,11,11.0,11,0,11,PureExtender,NoOvr
org.apache.log4j.xml.examples,ReportParserError,1,0.36363637,4,1.4545455,4,0,11,PureExtender,NoOvr
org.apache.log4j.xml.examples,XMLSample,1,0.0,0,0.0,0,0,11,Other,NoOvr
org.apache.log4j.varia,ReloadingPropertyConfigurator,1,0.09090909,1,0.09090909,1,0,11,PureExtender,NoOvr
org.apache.log4j.varia,DenyAllFilter,2,0.46153846,3,1.3846154,2,1,12,Extender,PureSpecializer
org.apache.log4j,DailyRollingFileAppender,4,0.53846157,7,3.7692308,5,2,50,Extender,PureSpecializer
org.apache.log4j.net,JMSSink,1,0.0,0,0.0,0,0,11,Other,NoOvr
org.apache.log4j.net,SocketHubAppender,2,0.62068963,9,5.5862064,5,4,25,Extender,Specializer
org.apache.log4j.lf5.viewer,LogFactor5AboutDialog,6,0.013544017,1,0.013544017,1,0,443,PureExtender,NoOvr
org.apache.log4j.lf5.viewer,LogFactor5InputDialog,7,0.015659954,1,0.015659954,1,0,447,PureExtender,NoOvr
org.apache.log4j.helpers,BoundedFIFO,1,0.8181818,9,7.3636365,9,0,11,PureExtender,NoOvr
org.apache.log4j.helpers,PatternParser$BasicPatternConverter,2,0.14285715,1,0.14285715,0,1,13,PureOverrider,PureSpecializer
org.apache.log4j.spi,LoggingEvent,1,0.8181818,9,7.3636365,9,0,11,PureExtender,NoOvr
org.apache.log4j.lf5.viewer.categoryexplorer,CategoryPath,1,0.54545456,6,3.2727275,5,1,10,Extender,PureReplacer
org.apache.log4j.lf5.viewer,LogTableRowRenderer,6,0.024896264,2,0.04979253,1,1,481,Overrider,PureSpecializer
org.apache.log4j.lf5,DefaultLF5Configurator,1,0.09090909,1,0.09090909,1,0,11,PureExtender,NoOvr
org.apache.log4j.varia,HUPNode,1,0.09090909,1,0.09090909,1,0,11,PureExtender,NoOvr
org.apache.log4j.lf5,StartLogFactor5,1,0.0,0,0.0,0,0,11,Other,NoOvr
org.apache.log4j.helpers,PatternParser$MDCPatternConverter,2,0.14285715,1,0.14285715,0,1,13,PureOverrider,PureSpecializer
org.apache.log4j.test,PatternTest,1,0.0,0,0.0,0,0,11,Other,NoOvr
org.apache.log4j.spi,RootCategory,3,0.1607143,3,0.4821429,2,1,55,Extender,PureReplacer
org.apache.log4j.net,TelnetAppender$SocketHandler,2,0.14634146,3,0.4390244,1,2,39,Overrider,PureReplacer
org.apache.log4j,NDC$DiagnosticContext,1,0.0,0,0.0,0,0,11,Other,NoOvr
org.apache.log4j.test,ShortSocketServer,1,0.0,0,0.0,0,0,11,Other,NoOvr
org.apache.log4j.lf5.viewer,LogFactor5ErrorDialog,7,0.0,0,0.0,0,0,447,Other,NoOvr
org.apache.log4j.lf5.viewer.categoryexplorer,CategoryNodeEditorRenderer,7,0.027888445,2,0.05577689,1,1,501,Overrider,PureSpecializer
org.apache.log4j,MDC,1,0.0,0,0.0,0,0,11,Other,NoOvr
org.apache.log4j.lf5.viewer.categoryexplorer,CategoryImmediateEditor,2,0.22857143,4,0.9142857,1,3,32,Overrider,PureReplacer
org.apache.log4j.helpers,Transform,1,0.0,0,0.0,0,0,11,Other,NoOvr
org.apache.log4j.lf5.viewer.categoryexplorer,TreeModelAdapter,1,0.36363637,4,1.4545455,4,0,11,PureExtender,NoOvr
org.apache.log4j.helpers,CyclicBuffer,1,0.54545456,6,3.2727275,6,0,11,PureExtender,NoOvr
org.apache.log4j,ConsoleAppender,3,0.36585364,5,1.8292682,3,2,39,Extender,PureReplacer
org.apache.log4j.lf5.viewer,FilteredLogTableModel,2,1.4074074,19,26.74074,18,1,26,Extender,PureReplacer
org.apache.log4j,WriterAppender,2,1.1724138,17,19.931034,12,5,24,Extender,Specializer
org.apache.log4j.helpers,SyslogQuietWriter,4,0.48,3,1.4399999,2,1,24,Extender,PureSpecializer
org.apache.log4j.lf5.util,StreamUtils,1,0.0,0,0.0,0,0,11,Other,NoOvr
org.apache.log4j.performance,SystemTime,1,0.0,0,0.0,0,0,11,Other,NoOvr
org.apache.log4j.test,FQCNTest,1,0.0,0,0.0,0,0,11,Other,NoOvr
org.apache.log4j.helpers,PatternParser$ClassNamePatternConverter,3,0.2,1,0.2,0,1,14,PureOverrider,PureSpecializer
org.apache.log4j.net.test,Loop,1,0.0,0,0.0,0,0,11,Other,NoOvr
org.apache.log4j.helpers,SyslogWriter,2,0.33333334,4,1.3333334,0,4,20,PureOverrider,Specializer
org.apache.log4j.or,ThreadGroupRenderer,1,0.09090909,1,0.09090909,1,0,11,PureExtender,NoOvr
org.apache.log4j.chainsaw,LoggingReceiver,2,0.048780486,1,0.048780486,0,1,40,PureOverrider,PureReplacer
org.apache.log4j.performance,NOPWriter,2,0.5833333,7,4.083333,0,7,17,PureOverrider,Replacer
org.apache.log4j.helpers,RelativeTimeDateFormat,3,0.1875,2,0.375,0,2,30,PureOverrider,PureSpecializer
org.apache.log4j.test,CategoryWrapper,1,0.18181819,2,0.36363637,2,0,11,PureExtender,NoOvr
org.apache.log4j.helpers,ISO8601DateFormat,4,0.25,2,0.5,0,2,30,PureOverrider,PureReplacer
org.apache.log4j.lf5,AppenderFinalizer,1,0.09090909,1,0.09090909,0,1,10,PureOverrider,PureReplacer
org.apache.log4j.lf5.viewer,LogFactor5Dialog,6,0.067720085,5,0.33860043,4,1,442,Extender,PureSpecializer
org.apache.log4j.helpers,AppenderAttachableImpl,1,0.72727275,8,5.818182,8,0,11,PureExtender,NoOvr
org.apache.log4j.lf5.viewer.categoryexplorer,CategoryNodeRenderer,6,0.036,3,0.107999995,2,1,499,Extender,PureSpecializer
org.apache.log4j.spi,VectorWriter,3,0.4528302,8,3.6226416,2,6,47,Overrider,PureReplacer
org.apache.log4j.test,Base64,1,0.0,0,0.0,0,0,11,Other,NoOvr
org.apache.log4j.net,SyslogAppender,2,0.6896552,10,6.896552,6,4,25,Extender,Specializer
org.apache.log4j,SimpleLayout,2,0.3529412,3,1.0588236,0,3,14,PureOverrider,PureSpecializer
org.apache.log4j,Dispatcher,2,0.09756097,2,0.19512194,1,1,40,Overrider,PureReplacer
org.apache.log4j.or.sax,AttributesRenderer,1,0.09090909,1,0.09090909,1,0,11,PureExtender,NoOvr
org.apache.log4j.spi,Filter,1,0.18181819,2,0.36363637,2,0,11,PureExtender,NoOvr
org.apache.log4j.lf5.viewer,LogTableModel,3,0.060000002,1,0.060000002,0,1,49,PureOverrider,PureReplacer
org.apache.log4j.performance,ConcatVsArray,1,0.0,0,0.0,0,0,11,Other,NoOvr
org.apache.log4j.helpers,FormattingInfo,1,0.18181819,2,0.36363637,2,0,11,PureExtender,NoOvr
org.apache.log4j.helpers,OnlyOnceErrorHandler,1,0.6363636,7,4.4545455,7,0,11,PureExtender,NoOvr
org.apache.log4j.net,SocketAppender,2,1.0344827,15,15.517241,11,4,25,Extender,Specializer
