Package,Base name,Inh Depth,NVI,Local G Count,NVS,New Count,Overriden G Count,Inh Count,Tag,Ovr Tag
org.argouml.model.mdr,DataTypesHelperMDRImpl,1,1.3636364,15,20.454546,15,0,11,PureExtender,NoOvr
org.argouml.uml.ui.behavior.state_machines,UMLSignalEventSignalListModel,4,0.121212125,2,0.24242425,0,2,64,PureOverrider,PureSpecializer
org.argouml.uml.cognitive.critics,CrUnconventionalClassName,4,0.24691358,5,1.2345679,0,5,76,PureOverrider,Replacer
org.argouml.ui.cmd,ActionOpenDecisions,4,0.16,1,0.16,0,1,24,PureOverrider,PureReplacer
org.argouml.uml.diagram.ui,PropPanelString,6,0.15652174,12,1.8782609,12,0,460,PureExtender,NoOvr
org.argouml.uml.ui.behavior.collaborations,ActionRemoveClassifierRoleBase,5,0.17241378,1,0.17241378,0,1,28,PureOverrider,PureSpecializer
org.argouml.uml.cognitive.critics,CrInvalidForkTriggerOrGuard,3,0.0375,1,0.0375,0,1,79,PureOverrider,PureReplacer
org.argouml.language.php.generator,GeneratorPHP5,3,0.05084746,1,0.05084746,0,1,58,PureOverrider,PureReplacer
org.argouml.language.php.generator,GeneratorPHP4,2,1.6279069,35,56.97674,16,19,24,Overrider,PureSpecializer
org.argouml.ui,SettingsTabLayout,6,0.115384616,9,1.0384616,9,0,468,PureExtender,NoOvr
org.argouml.uml.diagram.use_case.ui,UseCaseDiagramRenderer,2,0.30769232,2,0.61538464,2,0,13,PureExtender,NoOvr
org.argouml.kernel,Project$Vcl,1,0.09090909,1,0.09090909,1,0,11,PureExtender,NoOvr
org.argouml.uml.diagram.ui,RadioAction,3,0.25,2,0.5,1,1,23,Overrider,PureSpecializer
org.argouml.ui,ArgoJMenu,7,0.023372287,2,0.046744574,2,0,599,PureExtender,NoOvr
org.argouml.uml.ui,UMLComboBoxNavigator,5,0.010989011,1,0.010989011,1,0,455,PureExtender,NoOvr
org.argouml.uml.diagram.static_structure,ClassDiagramGraphModel,3,0.5806452,12,6.9677424,5,7,55,Overrider,Replacer
org.argouml.uml.reveng.classfile,SimpleByteLexer,1,0.09090909,1,0.09090909,1,0,11,PureExtender,NoOvr
org.argouml.persistence,TodoTokenTable,2,0.11764706,1,0.11764706,0,1,16,PureOverrider,PureSpecializer
