#statement;statement;PageRank value;Rank;All Edges;Incoming Edges;Outgoing Edges
0;FUNCTION;0.243902;1;1;1;0
1;FUNCTION_CALL ;0.682927;0;4;3;1
2;FUNCTION_CALL;0.0243902;2;1;0;1
3;FUNCTION_CALL ;0.0243902;2;1;0;1
4;FUNCTION_CALL ;0.0243902;2;1;0;1
