#statement;statement;PageRank value;Rank;All Edges;Incoming Edges;Outgoing Edges
207;FUNCTION_CALL;0.00290444;68;2;1;1
208;IF;0.00290444;68;3;1;2
209;FUNCTION_CALL;0.00159744;271;2;1;1
210;FUNCTION_CALL;0.00290444;68;2;1;1
211;IF;0.00290444;68;3;1;2
212;END_THEN;0.00159744;271;2;1;1
213;DUMMY;0.00421144;4;3;2;1
214;END_THEN;0.00290444;68;2;1;1
215;DUMMY;0.00421144;4;3;2;1
216;FUNCTION_CALL;0.00290444;68;2;1;1
217;END_THEN;0.00290444;68;2;1;1
218;DUMMY;0.00290444;68;3;1;2
219;FUNCTION_CALL;0.00159744;271;2;1;1
220;IF;0.00290444;68;3;1;2
221;FUNCTION_CALL;0.00159744;271;2;1;1
222;END_THEN;0.00290444;68;2;1;1
223;DUMMY;0.00421144;4;3;2;1
224;END_ELSE;0.00290444;68;2;1;1
225;DUMMY;0.00551844;0;3;2;1
226;END_THEN;0.00290444;68;2;1;1
227;DUMMY;0.00421144;4;3;2;1
228;IF;0.00290444;68;3;1;2
229;FUNCTION_CALL;0.00159744;271;2;1;1
230;END_THEN;0.00290444;68;2;1;1
231;FUNCTION_CALL;0.00159744;271;2;1;1
232;END_ELSE;0.00290444;68;2;1;1
233;DUMMY;0.00551844;0;3;2;1
234;IF;0.00290444;68;3;1;2
235;IF;0.00159744;271;3;1;2
236;FUNCTION_CALL;0.00159744;271;2;1;1
237;END_THEN;0.00290444;68;2;1;1
238;DUMMY;0.00421144;4;3;2;1
239;FUNCTION_CALL;0.00290444;68;2;1;1
240;END_THEN;0.00290444;68;2;1;1
241;DUMMY;0.00421144;4;3;2;1
242;IF;0.00290444;68;3;1;2
243;FUNCTION_CALL;0.00159744;271;2;1;1
244;END_THEN;0.00290444;68;2;1;1
245;DUMMY;0.00421144;4;3;2;1
246;IF;0.00290444;68;3;1;2
247;FUNCTION_CALL;0.00159744;271;2;1;1
248;END_THEN;0.00290444;68;2;1;1
249;DUMMY;0.00421144;4;3;2;1
250;IF;0.00290444;68;3;1;2
251;FUNCTION_CALL;0.00159744;271;2;1;1
252;FUNCTION_CALL;0.00290444;68;2;1;1
253;END_THEN;0.00290444;68;2;1;1
254;DUMMY;0.00421144;4;3;2;1
255;IF;0.00290444;68;3;1;2
256;FUNCTION_CALL;0.00159744;271;2;1;1
257;FUNCTION_CALL;0.00290444;68;2;1;1
258;END_THEN;0.00290444;68;2;1;1
259;DUMMY;0.00421144;4;3;2;1
260;IF;0.00290444;68;3;1;2
261;FUNCTION_CALL;0.00159744;271;2;1;1
262;FUNCTION_CALL;0.00290444;68;2;1;1
263;END_THEN;0.00290444;68;2;1;1
264;DUMMY;0.00421144;4;3;2;1
265;IF;0.00290444;68;3;1;2
266;FUNCTION_CALL;0.00159744;271;2;1;1
267;FUNCTION_CALL;0.00290444;68;2;1;1
268;END_THEN;0.00290444;68;2;1;1
269;DUMMY;0.00421144;4;3;2;1
270;IF;0.00290444;68;3;1;2
271;FUNCTION_CALL;0.00159744;271;2;1;1
272;IF;0.00290444;68;3;1;2
273;FUNCTION_CALL;0.00159744;271;2;1;1
274;END_THEN;0.00290444;68;2;1;1
275;DUMMY;0.00421144;4;3;2;1
276;END_THEN;0.00290444;68;2;1;1
277;DUMMY;0.00421144;4;3;2;1
278;IF;0.00290444;68;3;1;2
