Family, DERIA5String, PureOverrider, 1.0, 2, 0
1, toString() java.lang.String, 
Family, GeneralDigest, Overrider, 1.0, 8, 0
7, getAlgorithmName() java.lang.String, getDigestSize() int, processLength(long ) void, reset() void, doFinal(byte[] int ) int, processWord(byte[] int ) void, processBlock() void, 
Family, PriorityShapeImpl, Extender, 1.0, 2, 4
21, isAutoReserve(int ) boolean, isAutoSlide(int ) boolean, isRamp(int ) boolean, getEnd() int, hashCode() int, isFullPieces(int int ) boolean, isRamp(int int ) boolean, isFullPieces(int ) boolean, getStart() int, isReverse(int int ) boolean, isStaticPriority(int ) boolean, isAutoReserve(int int ) boolean, isNoRandom(int int ) boolean, equals(java.lang.Object ) boolean, isSelected(int ) boolean, isIgnoreRarity(int int ) boolean, isReverse(int ) boolean, isStaticPriority(int int ) boolean, isAutoSlide(int int ) boolean, isNoRandom(int ) boolean, isIgnoreRarity(int ) boolean, 
Family, DHTUDPPacketRequest, Extender, 0.5714286, 7, 27
2, getString() java.lang.String, serialise(java.io.DataOutputStream ) void, 
Family, ShareResourceImpl, Extender, 0.5, 2, 8
5, deleteInternal() void, canBeDeleted() boolean, serialiseResource(java.util.Map ) void, getName() java.lang.String, checkConsistency() void, 
Family, XUXmlWriter, PureExtender, 1.0, 3, 23
0, 
Family, RPException, PureOverrider, 0.90909094, 11, 2
1, getRPType() java.lang.String, 
Family, ElGamalKeySpec, PureExtender, 1.0, 2, 2
0, 
Family, MessageAdapter, PureExtender, 1.0, 4, 12
2, getPieceNumber() int, getPieceOffset() int, 
Family, TableView$SelectedTableRowsListener, PureOverrider, 1.0, 21, 0
1, run(org.gudy.azureus2.ui.swt.views.table.TableRowCore ) void, 
Family, TRTrackerScraperResponseImpl, PureExtender, 1.0, 2, 1
2, getURL() java.net.URL, setSeedsPeers(int int ) void, 
Family, GenericActionPerformer, PureExtender, 1.0, 6, 0
1, performAction() void, 
Family, ExternalIPCheckerServiceSimple, Other, 1.0, 2, 0
0, 
Family, AEMonSem, PureExtender, 1.0, 2, 15
0, 
Family, PRUDPPacketReply, Extender, 0.71428573, 7, 34
2, getString() java.lang.String, serialise(java.io.DataOutputStream ) void, 
Family, GlobalManagerAdpater, PureOverrider, 0.5, 2, 13
1, downloadManagerAdded(org.gudy.azureus2.core3.download.DownloadManager ) void, 
Family, JDKAlgorithmParameterGenerator, PureOverrider, 1.0, 8, 0
