Family, Expression, Extender, 0.71428573, 7, 0.0
4, callVisitors(org.apache.xpath.ExpressionOwner org.apache.xpath.XPathVisitor ) void, fixupVariables(java.util.Vector int ) void, deepEquals(org.apache.xpath.Expression ) boolean, execute(org.apache.xpath.XPathContext ) org.apache.xpath.objects.XObject, 
Family, DTMDefaultBaseIterators$SingletonIterator, PureOverrider, 1.0, 2, 0.0
1, next() int, 
Family, ElemLiteralResult, PureOverrider, 0.5, 2, 0.0
2, execute(org.apache.xalan.transformer.TransformerImpl ) void, getXSLToken() int, 
Family, DTMDefaultBaseTraversers$DescendantTraverser, PureOverrider, 1.0, 4, 0.0
2, first(int int ) int, first(int ) int, 
Family, DTMDefaultBaseIterators, Overrider, 0.6666667, 3, 0.0
27, getNumberOfNodes() int, needsTwoThreads() boolean, getNodeNameX(int ) java.lang.String, getDeclHandler() org.xml.sax.ext.DeclHandler, getDocumentTypeDeclarationPublicIdentifier() java.lang.String, getContentHandler() org.xml.sax.ContentHandler, getNodeValue(int ) java.lang.String, getNextNodeIdentity(int ) int, nextNode() boolean, isAttributeSpecified(int ) boolean, getNamespaceURI(int ) java.lang.String, getAttributeNode(int java.lang.String java.lang.String ) int, setProperty(java.lang.String java.lang.Object ) void, dispatchToEvents(int org.xml.sax.ContentHandler ) void, getPrefix(int ) java.lang.String, getErrorHandler() org.xml.sax.ErrorHandler, getElementById(java.lang.String ) int, getUnparsedEntityURI(java.lang.String ) java.lang.String, getSourceLocatorFor(int ) javax.xml.transform.SourceLocator, getDTDHandler() org.xml.sax.DTDHandler, dispatchCharactersEvents(int org.xml.sax.ContentHandler boolean ) void, getLexicalHandler() org.xml.sax.ext.LexicalHandler, getDocumentTypeDeclarationSystemIdentifier() java.lang.String, getNodeName(int ) java.lang.String, getStringValue(int ) org.apache.xml.utils.XMLString, getLocalName(int ) java.lang.String, getEntityResolver() org.xml.sax.EntityResolver, 
Family, Instruction, PureOverrider, 0.42307693, 26, 0.0
0, 
Family, ToSAXHandler, Overrider, 1.0, 3, 0.0
35, startElement(java.lang.String java.lang.String java.lang.String org.xml.sax.Attributes ) void, processingInstruction(java.lang.String java.lang.String ) void, startElement(java.lang.String java.lang.String java.lang.String ) void, endDocument() void, namespaceAfterStartElement(java.lang.String java.lang.String ) void, setEscaping(boolean ) boolean, serialize(org.w3c.dom.Node ) void, setOutputStream(java.io.OutputStream ) void, endPrefixMapping(java.lang.String ) void, elementDecl(java.lang.String java.lang.String ) void, endDTD() void, indent(int ) void, skippedEntity(java.lang.String ) void, setOutputFormat(java.util.Properties ) void, reset() boolean, ignorableWhitespace(char[] int int ) void, startPrefixMapping(java.lang.String java.lang.String ) void, startPrefixMapping(java.lang.String java.lang.String boolean ) boolean, characters(char[] int int ) void, startEntity(java.lang.String ) void, startCDATA() void, characters(java.lang.String ) void, getWriter() java.io.Writer, setWriter(java.io.Writer ) void, endCDATA() void, startElement(java.lang.String ) void, attributeDecl(java.lang.String java.lang.String java.lang.String java.lang.String java.lang.String ) void, externalEntityDecl(java.lang.String java.lang.String java.lang.String ) void, internalEntityDecl(java.lang.String java.lang.String ) void, getOutputStream() java.io.OutputStream, endElement(java.lang.String java.lang.String java.lang.String ) void, endElement(java.lang.String ) void, getOutputFormat() java.util.Properties, comment(char[] int int ) void, setDocumentLocator(org.xml.sax.Locator ) void, 
Family, XMLErrorResources, Other, 0.5, 2, 0.0
0, 
Family, Comparator, PureOverrider, 1.0, 6, 0.0
2, compareNumbers(double double ) boolean, compareStrings(org.apache.xml.utils.XMLString org.apache.xml.utils.XMLString ) boolean, 
Family, ProcessorTemplateElem, PureOverrider, 0.85714287, 7, 0.0
0, 
Family, VariableRefBase, PureOverrider, 0.6666667, 3, 0.0
1, translate(org.apache.xalan.xsltc.compiler.util.ClassGenerator org.apache.xalan.xsltc.compiler.util.MethodGenerator ) void, 
Family, XMLStringFactory, PureOverrider, 1.0, 2, 0.0
4, newstr(char[] int int ) org.apache.xml.utils.XMLString, newstr(java.lang.String ) org.apache.xml.utils.XMLString, newstr(org.apache.xml.utils.FastStringBuffer int int ) org.apache.xml.utils.XMLString, emptystr() org.apache.xml.utils.XMLString, 
Family, Function2Args, PureOverrider, 0.71428573, 7, 0.0
1, execute(org.apache.xpath.XPathContext ) org.apache.xpath.objects.XObject, 
Family, Type, Overrider, 0.9, 10, 0.0
4, identicalTo(org.apache.xalan.xsltc.compiler.util.Type ) boolean, toString() java.lang.String, toJCType() org.apache.bcel.generic.Type, toSignature() java.lang.String, 
Family, XResourceBundle, PureOverrider, 1.0, 18, 0.0
1, getContents() java.lang.Object[][], 
Family, SerializerBase, Overrider, 1.0, 3, 0.0
