Family, parent name, NoC, med NoM, IQR NoM, SubBeh Tag, hgi, [DIT]
Prototype, NoM, Hamming, med Ham, IQR Ham, SubBeh Tag, mean Jac, dev Jac, Category, eqP, incP, surP, interP, diffP, outliers
Family, AttributeFigure, 6, 11.0, 18.0, Other, 0.33333334, 2
prototype hamR, 8, 50, 4.0, 16.0, PureOverrider, 0.6068376203378042, 0.28309673812003594, Homogeneous, 1, 0, 4, 1, 0, 0
prototype setR, 6, 58, 5.0, 18.0, PureOverrider, 0.505128209789594, 0.24385545646949966, Homogeneous, 0, 0, 6, 0, 0, 0

Family, TextFigure, 2, 4.5, 3.0, Other, 0.5, 3
prototype hamR, 0, 9, 4.5, 3.0, Other, 0.0, 0.0, NullPrototype, 0, 0, 2, 0, 0, 0
prototype setR, 0, 9, 4.5, 3.0, Other, 0.0, 0.0, NullPrototype, 0, 0, 2, 0, 0, 0

Family, AbstractConnector, 3, 3.0, 1.5, Overrider, 1.0, 1
prototype hamR, 2, 10, 1.0, 3.5, PureOverrider, 0.4444444576899211, 0.38490019093066974, Heterogeneous, 0, 0, 2, 1, 0, 0
prototype setR, 0, 12, 3.0, 1.5, Other, 0.0, 0.0, NullPrototype, 0, 0, 3, 0, 0, 0

Family, LocatorHandle, 12, 1.0, 0.5, PureOverrider, 0.9166667, 2
prototype hamR, 1, 11, 0.0, 1.5, PureOverrider, 0.7480158743758997, 0.38931014780269135, HomogeneousOutlier, 8, 0, 3, 1, 0, 1
prototype setR, 0, 21, 1.0, 0.5, Other, 0.0, 0.0, NullPrototype, 0, 0, 12, 0, 0, 2

